epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,114.038,0.87308,0.47267,1.17942,0.99873,1,0.995,0.74283,0.90945,0.34261,1.039,0.000957358,0.000957358,0.000957358
45,116.751,0.82974,0.46083,1.1458,0.99879,1,0.995,0.74257,0.94858,0.36745,1.05852,0.000940855,0.000940855,0.000940855
46,119.464,0.85258,0.46847,1.16928,0.99841,1,0.995,0.73436,0.94164,0.34435,1.06555,0.000924352,0.000924352,0.000924352
47,122.175,0.84469,0.45414,1.1549,0.99718,1,0.995,0.74211,0.94479,0.36493,1.03275,0.000907848,0.000907848,0.000907848
48,124.899,0.83481,0.46849,1.14975,0.99401,1,0.995,0.74244,0.90589,0.36059,1.03738,0.000891345,0.000891345,0.000891345
49,127.606,0.83688,0.4577,1.14892,0.99788,1,0.995,0.72428,0.96539,0.35081,1.066,0.000874842,0.000874842,0.000874842
50,130.349,0.84087,0.46388,1.15548,0.99845,1,0.995,0.75235,0.93103,0.33411,1.05599,0.000858338,0.000858338,0.000858338
51,133.092,0.86531,0.48254,1.1803,0.99843,1,0.995,0.75843,0.90016,0.33871,1.03084,0.000841835,0.000841835,0.000841835
52,135.835,0.80386,0.43531,1.1472,0.9984,1,0.995,0.73878,0.96336,0.3557,1.0527,0.000825332,0.000825332,0.000825332
53,138.525,0.81906,0.45248,1.15157,0.99863,1,0.995,0.73754,0.9605,0.34924,1.06219,0.000808828,0.000808828,0.000808828
54,141.226,0.81127,0.4559,1.1432,0.99937,1,0.995,0.76174,0.89311,0.34765,1.02142,0.000792325,0.000792325,0.000792325
55,143.975,0.82868,0.44862,1.1438,0.9988,1,0.995,0.74004,0.92523,0.33641,1.04503,0.000775822,0.000775822,0.000775822
56,146.722,0.83586,0.43759,1.14413,0.99863,1,0.995,0.75635,0.90265,0.32328,1.04004,0.000759318,0.000759318,0.000759318
57,149.421,0.8323,0.44075,1.14202,0.99836,1,0.995,0.76556,0.945,0.3559,1.04236,0.000742815,0.000742815,0.000742815
58,152.237,0.81643,0.43224,1.13193,0.99871,1,0.995,0.74587,0.941,0.3479,1.06549,0.000726312,0.000726312,0.000726312
59,154.974,0.78826,0.41931,1.14734,0.99884,1,0.995,0.76306,0.92803,0.34553,1.0429,0.000709809,0.000709809,0.000709809
60,157.727,0.78026,0.43973,1.1289,0.99871,1,0.995,0.78144,0.91781,0.33702,1.04555,0.000693305,0.000693305,0.000693305
61,160.51,0.77496,0.4115,1.12182,0.99877,1,0.995,0.75521,0.95155,0.34131,1.06077,0.000676802,0.000676802,0.000676802
62,163.31,0.78796,0.43933,1.14223,0.99845,1,0.995,0.74652,0.98082,0.33752,1.07042,0.000660299,0.000660299,0.000660299
63,166.082,0.81654,0.44379,1.14484,0.99749,1,0.995,0.75005,0.96391,0.33685,1.05785,0.000643795,0.000643795,0.000643795
64,168.824,0.78364,0.41897,1.12029,0.99865,1,0.995,0.75082,0.94247,0.34372,1.04677,0.000627292,0.000627292,0.000627292
65,171.524,0.82529,0.4267,1.13869,0.99879,1,0.995,0.76654,0.9103,0.32272,1.03741,0.000610789,0.000610789,0.000610789
66,174.384,0.76604,0.43065,1.12492,0.99886,1,0.995,0.7553,0.92315,0.33052,1.04722,0.000594286,0.000594286,0.000594286
67,177.311,0.79828,0.43196,1.12456,0.99877,1,0.995,0.75362,0.96143,0.33015,1.05658,0.000577782,0.000577782,0.000577782
68,180.1,0.79743,0.42453,1.12747,0.99876,1,0.995,0.75637,0.89998,0.31066,1.03112,0.000561279,0.000561279,0.000561279
69,182.867,0.75664,0.41416,1.1222,0.99876,1,0.995,0.74464,0.96167,0.34348,1.06659,0.000544776,0.000544776,0.000544776
70,185.67,0.75456,0.41092,1.11195,0.99864,1,0.995,0.74013,0.9303,0.33132,1.06321,0.000528272,0.000528272,0.000528272
71,188.461,0.73257,0.41332,1.09977,0.99875,1,0.995,0.76081,0.92059,0.31508,1.06579,0.000511769,0.000511769,0.000511769
72,191.275,0.7418,0.39435,1.11573,0.9988,1,0.995,0.74377,0.92542,0.31615,1.06144,0.000495266,0.000495266,0.000495266
73,194.134,0.75859,0.40341,1.12708,0.99884,1,0.995,0.75788,0.93094,0.33175,1.05377,0.000478762,0.000478762,0.000478762
74,196.953,0.72463,0.38909,1.11979,0.99886,1,0.995,0.75963,0.948,0.32478,1.05665,0.000462259,0.000462259,0.000462259
75,199.775,0.72755,0.37672,1.10477,0.99878,1,0.995,0.77417,0.91655,0.33207,1.04986,0.000445756,0.000445756,0.000445756
76,202.632,0.75093,0.3898,1.10587,0.99878,1,0.995,0.77809,0.91143,0.31268,1.04515,0.000429253,0.000429253,0.000429253
77,205.373,0.72219,0.38287,1.09246,0.99884,1,0.995,0.76521,0.91148,0.32662,1.07559,0.000412749,0.000412749,0.000412749
78,208.16,0.74444,0.38892,1.08983,0.99878,1,0.995,0.77481,0.89482,0.31896,1.03692,0.000396246,0.000396246,0.000396246
79,210.965,0.73215,0.37818,1.11594,0.99881,1,0.995,0.7505,0.91406,0.32417,1.06324,0.000379743,0.000379743,0.000379743
80,213.83,0.7198,0.38084,1.09298,0.9985,1,0.995,0.76187,0.91559,0.31558,1.06018,0.000363239,0.000363239,0.000363239
81,216.647,0.74774,0.37785,1.10521,0.99871,1,0.995,0.76047,0.92628,0.32814,1.06457,0.000346736,0.000346736,0.000346736
82,219.459,0.72415,0.36593,1.10698,0.99887,1,0.995,0.75699,0.9634,0.32808,1.07301,0.000330233,0.000330233,0.000330233
83,222.319,0.7305,0.36626,1.09268,0.99885,1,0.995,0.75739,0.93694,0.31544,1.06937,0.000313729,0.000313729,0.000313729
84,225.256,0.71143,0.36569,1.0874,0.9989,1,0.995,0.76297,0.93352,0.30856,1.06747,0.000297226,0.000297226,0.000297226
